2021-04-18T19:04:37.079Z,1.8255,127.5359,141.48,4.4,mb,,142,1.06,0.65,us,us6000e2pm,2021-04-18T19:33:52.040Z,"53 km WNW of Tobelo, Indonesia",earthquake,10.4,7.8,0.144,14,reviewed,us,us
2021-04-18T20:02:06.670Z,17.9291,-66.8385,10,2.45,md,15,220,0.2096,0.15,pr,pr2021108004,2021-04-18T20:27:29.339Z,"7 km SSW of Indios, Puerto Rico",earthquake,0.51,0.65,0.17,7,reviewed,pr,pr
2021-04-18T20:18:39.214Z,-7.1506,129.4187,143.98,4.8,mb,,80,2.039,1.09,us,us6000e2q2,2021-04-18T20:32:51.040Z,"Kepulauan Babar, Indonesia",earthquake,4.4,9.9,0.113,24,reviewed,us,us
2021-04-18T20:31:30.690Z,35.14416667,-95.28783333,6.54,2.48,ml,53,118,0.159268746,0.22,ok,ok2021hpbl,2021-04-19T16:32:28.069Z,"5 km WNW of Kinta, Oklahoma",earthquake,,0.5,0.09,8,reviewed,ok,ok
2021-04-18T20:40:48.573Z,58.3967,-137.7789,0,2.5,ml,,,,1.07,ak,ak0214yy6ttc,2021-04-18T21:05:02.581Z,"87 km WNW of Elfin Cove, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-04-18T20:54:48.061Z,32.86468506,-101.0045494,3.399210612,3.1,ml,32,37,0.07857102517,0.2,tx,tx2021hpcf,2021-04-19T20:47:07.916Z,"18 km NNW of Snyder, Texas",earthquake,0.9789793522,1.439736302,0.1,13,reviewed,tx,tx
2021-04-18T21:50:20.483Z,29.8713,50.5513,10,4.3,mb,,159,6.633,0.61,us,us6000e2qq,2021-04-19T21:12:16.040Z,"32 km N of Bandar-e Genāveh, Iran",earthquake,7.1,1.9,0.109,24,reviewed,us,us
2021-04-18T22:08:16.037Z,-25.4751,-176.8747,112.34,4.8,mb,,48,9.022,0.49,us,us6000e2qy,2021-04-19T21:59:33.040Z,"south of the Fiji Islands",earthquake,12.3,7,0.05,121,reviewed,us,us
2021-04-18T22:17:46.280Z,29.7305,50.6423,10,4.7,mb,,74,6.793,0.78,us,us6000e2qz,2021-04-19T22:26:52.547Z,"20 km NE of Bandar-e Genāveh, Iran",earthquake,7.9,1.9,0.07,62,reviewed,us,us
2021-04-18T22:41:46.004Z,29.8052,50.5541,10,4.3,mb,,80,6.687,0.85,us,us6000e2r4,2021-04-19T22:45:51.040Z,"25 km N of Bandar-e Genāveh, Iran",earthquake,9,1.9,0.093,33,reviewed,us,us
2021-04-18T22:43:50.879Z,29.7762,50.4551,10,4.4,mb,,74,6.66,0.6,us,us6000e2r2,2021-04-19T22:56:35.040Z,"22 km NNW of Bandar-e Genāveh, Iran",earthquake,9.4,1.9,0.07,59,reviewed,us,us
2021-04-18T22:47:28.578Z,16.2279,-93.8741,136.14,4.5,mb,,142,1.669,1.12,us,us6000e2r6,2021-04-19T23:24:54.040Z,"2 km ESE of Arriaga, Mexico",earthquake,9.2,9.6,0.056,92,reviewed,us,us
2021-04-18T23:46:14.620Z,40.4441667,-124.7116667,24.32,2.65,md,19,239,0.2872,0.13,nc,nc73551165,2021-04-19T21:05:51.040Z,"38km WNW of Petrolia, CA",earthquake,0.74,2.52,0.275,16,reviewed,nc,nc
2021-04-19T00:27:32.631Z,-17.757,-70.554,28,4.5,mwr,,77,0.642,0.65,us,us6000e2rk,2021-04-19T23:47:51.497Z,"6 km WNW of Sama Grande, Peru",earthquake,5.6,3.7,0.062,25,reviewed,us,us
2021-04-19T02:21:39.550Z,38.8278351,-122.8034973,1.37,2.73,md,51,32,0.006786,0.06,nc,nc73551205,2021-04-20T00:49:54.859Z,"7km NW of The Geysers, CA",earthquake,0.13,0.24,0.18,43,automatic,nc,nc
2021-04-19T03:06:55.616Z,63.185,-150.751,128.3,2.5,ml,,,,0.47,ak,ak02150bej8a,2021-04-19T04:14:10.040Z,"62 km SE of Denali National Park, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-04-19T03:18:57.125Z,-33.9723,-72.4361,10.85,5.2,mww,,79,0.991,0.85,us,us6000e2s5,2021-04-20T17:37:02.040Z,"87 km WSW of San Antonio, Chile",earthquake,3.4,3.6,0.08,15,reviewed,us,us
2021-04-19T04:06:21.792Z,38.0835,141.5284,55.08,4.9,mb,,112,2.726,1.28,us,us6000e2sm,2021-04-19T04:50:43.074Z,"42 km SSE of Ishinomaki, Japan",earthquake,8.3,4.2,0.028,398,reviewed,us,us
2021-04-19T04:10:05.802Z,1.5594,-85.2679,10,5.3,mww,,94,5.486,1.02,us,us6000e2t0,2021-04-21T21:00:51.040Z,"off the coast of Ecuador",earthquake,8.7,1.9,0.041,56,reviewed,us,us
2021-04-19T04:11:26.625Z,-33.9739,-72.4144,11.17,5.2,mww,,79,0.973,0.62,us,us6000e2sp,2021-04-20T16:38:19.040Z,"85 km WSW of San Antonio, Chile",earthquake,3.6,3.6,0.066,22,reviewed,us,us
2021-04-19T05:59:49.700Z,40.312,-124.6196667,19.66,2.47,md,34,231,0.2132,0.19,nc,nc73551340,2021-04-23T09:56:01.040Z,"28km W of Petrolia, CA",earthquake,0.65,0.36,0.307,30,reviewed,nc,nc
2021-04-19T06:31:37.101Z,44.3432,147.3379,116.5,4.3,mb,,132,3.417,0.58,us,us6000e2td,2021-04-19T08:43:53.040Z,"78 km NE of Shikotan, Russia",earthquake,7.4,5,0.059,85,reviewed,us,us
2021-04-19T07:07:37.952Z,-7.7584,127.7593,89.09,5.2,mww,,42,3.513,1.11,us,us6000e2tm,2021-04-20T16:38:23.040Z,"118 km NE of Lospalos, Timor Leste",earthquake,7.3,4.7,0.089,12,reviewed,us,us
2021-04-19T07:35:02.294Z,0.7334,126.3061,40.48,4.8,mb,,57,1.061,0.45,us,us6000e2tr,2021-04-19T08:09:18.040Z,"120 km W of Ternate, Indonesia",earthquake,3.5,7.2,0.056,99,reviewed,us,us
2021-04-19T08:06:45.529Z,52.6869,-174.7402,221.2,3.8,mb,,128,0.588,0.55,us,us6000e2tw,2021-04-23T13:06:23.040Z,"65 km NW of Atka, Alaska",earthquake,10.7,11.6,0.104,24,reviewed,us,us
2021-04-19T08:27:57.188Z,-15.8689,-69.7422,243.55,4.5,mb,,136,1.604,0.85,us,us6000e2u1,2021-04-19T09:48:37.040Z,"Peru-Bolivia border region",earthquake,10.1,4.8,0.131,18,reviewed,us,us
2021-04-19T09:59:39.113Z,31.67232759,-104.3825011,7.391259766,2.9,ml,29,58,0.1008953731,0.3,tx,tx2021hqcc,2021-04-19T21:29:42.208Z,"western Texas",earthquake,1.296926292,1.793828025,0.1,15,reviewed,tx,tx
