time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-24T08:32:07.730Z,38.0857,-118.254,13.5,2.5,ml,33,78.83,0.186,0.2,nn,nn00805686,2021-04-24T09:29:31.019Z,"35 km NNE of Benton, California",earthquake,,3.3,,,automatic,nn,nn
2021-04-24T08:15:14.420Z,17.9738,-67.1493,6,2.53,md,18,269,0.0514,0.14,pr,pr2021114002,2021-04-24T08:41:17.456Z,"3 km E of Pole Ojea, Puerto Rico",earthquake,0.58,0.23,0.21,8,reviewed,pr,pr
2021-04-24T06:59:57.430Z,17.8116,-66.8505,2,2.95,md,22,232,0.2499,0.17,pr,pr2021114001,2021-04-24T08:22:38.929Z,"Puerto Rico region",earthquake,0.4,0.38,0.18,18,reviewed,pr,pr
2021-04-24T06:40:15.620Z,17.9443,-67.0195,12,2.52,md,18,222,0.0352,0.11,pr,pr2021114000,2021-04-24T07:18:34.333Z,"4 km SE of La Parguera, Puerto Rico",earthquake,0.54,0.26,0.21,13,reviewed,pr,pr
2021-04-24T05:34:48.490Z,38.0696678,-118.694664,-1.46,2.7,md,33,73,,0.23,nc,nc73553705,2021-04-24T08:36:06.399Z,"30km SSW of Qualeys Camp, NV",earthquake,0.45,6.41,0.18,26,automatic,nc,nc
2021-04-24T05:01:41.698Z,-8.3095,-79.7,56.67,4.6,mb,,138,4.612,0.53,us,us6000e49s,2021-04-24T05:37:34.338Z,"63 km SW of Santiago de Cao, Peru",earthquake,8.7,8.3,0.094,34,reviewed,us,us
2021-04-24T03:35:22.290Z,38.1797,-117.8668,13.8,2.8,ml,30,48.74,0.021,0.12,nn,nn00805669,2021-04-24T03:57:46.107Z,"31 km SE of Mina, Nevada",earthquake,,0.5,,,automatic,nn,nn
2021-04-24T03:15:16.415Z,19.3724,120.1841,10,4.5,mb,,119,3.528,0.76,us,us6000e490,2021-04-24T03:43:55.040Z,"107 km NNW of Davila, Philippines",earthquake,7.5,1.8,0.07,61,reviewed,us,us
2021-04-24T02:44:31.824Z,44.35,149.3027,49.9,4.3,mb,,169,4.827,0.58,us,us6000e48h,2021-04-24T03:07:57.040Z,"149 km SE of Kuril’sk, Russia",earthquake,4.6,8.9,0.058,83,reviewed,us,us
2021-04-24T01:44:05.040Z,-19.6409,-69.298,102.4,4.2,mb,,66,0.101,0.6,us,us6000e484,2021-04-24T12:04:24.519Z,"109 km NE of Iquique, Chile",earthquake,4.8,3.5,0.2,7,reviewed,us,us
2021-04-24T01:26:28.464Z,51.6651,-175.3691,50.21,3.8,mb,,195,0.606,1.19,us,us6000e47v,2021-04-24T10:03:00.788Z,"90 km ESE of Adak, Alaska",earthquake,5.6,8.2,0.052,98,reviewed,us,us
2021-04-24T01:05:43.370Z,62.2108,-148.1729,20.5,3.1,ml,,,,0.66,ak,ak02158jw5to,2021-04-24T01:35:29.710Z,"48 km NNE of Chickaloon, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-04-24T00:56:25.074Z,32.5273,-40.2065,10,5,mb,,51,21.136,0.61,us,us6000e47p,2021-04-24T01:12:03.040Z,"northern Mid-Atlantic Ridge",earthquake,10.4,1.9,0.035,256,reviewed,us,us
2021-04-24T00:23:38.098Z,-18.9189,-176.26,301,6.5,mww,,19,4.92,0.91,us,us6000e47c,2021-04-24T05:54:29.638Z,"223 km WNW of Pangai, Tonga",earthquake,8.7,1.9,0.06,27,reviewed,us,us
