0,1,2,3,4,5,6,7,8,9,10,11,12,13
51,13,37,36,56,27,42,23,5,25,12,10,60,24
13,37,36,56,27,42,23,5,25,12,10,60,24,25
37,36,56,27,42,23,5,25,12,10,60,24,25,28
36,56,27,42,23,5,25,12,10,60,24,25,28,30
56,27,42,23,5,25,12,10,60,24,25,28,30,33
27,42,23,5,25,12,10,60,24,25,28,30,33,51
42,23,5,25,12,10,60,24,25,28,30,33,51,11
23,5,25,12,10,60,24,25,28,30,33,51,11,49
5,25,12,10,60,24,25,28,30,33,51,11,49,46
25,12,10,60,24,25,28,30,33,51,11,49,46,6
12,10,60,24,25,28,30,33,51,11,49,46,6,53
10,60,24,25,28,30,33,51,11,49,46,6,53,33
60,24,25,28,30,33,51,11,49,46,6,53,33,36
24,25,28,30,33,51,11,49,46,6,53,33,36,9
25,28,30,33,51,11,49,46,6,53,33,36,9,38
28,30,33,51,11,49,46,6,53,33,36,9,38,56
30,33,51,11,49,46,6,53,33,36,9,38,56,1
33,51,11,49,46,6,53,33,36,9,38,56,1,31
51,11,49,46,6,53,33,36,9,38,56,1,31,46
11,49,46,6,53,33,36,9,38,56,1,31,46,17
49,46,6,53,33,36,9,38,56,1,31,46,17,52
46,6,53,33,36,9,38,56,1,31,46,17,52,51
6,53,33,36,9,38,56,1,31,46,17,52,51,59
53,33,36,9,38,56,1,31,46,17,52,51,59,39
33,36,9,38,56,1,31,46,17,52,51,59,39,37
36,9,38,56,1,31,46,17,52,51,59,39,37,1
9,38,56,1,31,46,17,52,51,59,39,37,1,8
38,56,1,31,46,17,52,51,59,39,37,1,8,14
56,1,31,46,17,52,51,59,39,37,1,8,14,28
1,31,46,17,52,51,59,39,37,1,8,14,28,33
31,46,17,52,51,59,39,37,1,8,14,28,33,43
46,17,52,51,59,39,37,1,8,14,28,33,43,56
17,52,51,59,39,37,1,8,14,28,33,43,56,50
52,51,59,39,37,1,8,14,28,33,43,56,50,55
51,59,39,37,1,8,14,28,33,43,56,50,55,54
59,39,37,1,8,14,28,33,43,56,50,55,54,24
39,37,1,8,14,28,33,43,56,50,55,54,24,43
37,1,8,14,28,33,43,56,50,55,54,24,43,50
1,8,14,28,33,43,56,50,55,54,24,43,50,53
8,14,28,33,43,56,50,55,54,24,43,50,53,57
14,28,33,43,56,50,55,54,24,43,50,53,57,10
28,33,43,56,50,55,54,24,43,50,53,57,10,58
33,43,56,50,55,54,24,43,50,53,57,10,58,22
43,56,50,55,54,24,43,50,53,57,10,58,22,44
56,50,55,54,24,43,50,53,57,10,58,22,44,33
50,55,54,24,43,50,53,57,10,58,22,44,33,13
55,54,24,43,50,53,57,10,58,22,44,33,13,51
54,24,43,50,53,57,10,58,22,44,33,13,51,17
24,43,50,53,57,10,58,22,44,33,13,51,17,20
43,50,53,57,10,58,22,44,33,13,51,17,20,60
50,53,57,10,58,22,44,33,13,51,17,20,60,6
53,57,10,58,22,44,33,13,51,17,20,60,6,22
57,10,58,22,44,33,13,51,17,20,60,6,22,3
10,58,22,44,33,13,51,17,20,60,6,22,3,24
58,22,44,33,13,51,17,20,60,6,22,3,24,54
22,44,33,13,51,17,20,60,6,22,3,24,54,14
44,33,13,51,17,20,60,6,22,3,24,54,14,56
33,13,51,17,20,60,6,22,3,24,54,14,56,58
13,51,17,20,60,6,22,3,24,54,14,56,58,8
51,17,20,60,6,22,3,24,54,14,56,58,8,43
17,20,60,6,22,3,24,54,14,56,58,8,43,3
20,60,6,22,3,24,54,14,56,58,8,43,3,38
60,6,22,3,24,54,14,56,58,8,43,3,38,50
6,22,3,24,54,14,56,58,8,43,3,38,50,7
22,3,24,54,14,56,58,8,43,3,38,50,7,29
3,24,54,14,56,58,8,43,3,38,50,7,29,15
24,54,14,56,58,8,43,3,38,50,7,29,15,14
54,14,56,58,8,43,3,38,50,7,29,15,14,56
14,56,58,8,43,3,38,50,7,29,15,14,56,19
56,58,8,43,3,38,50,7,29,15,14,56,19,28
58,8,43,3,38,50,7,29,15,14,56,19,28,48
8,43,3,38,50,7,29,15,14,56,19,28,48,17
43,3,38,50,7,29,15,14,56,19,28,48,17,45
3,38,50,7,29,15,14,56,19,28,48,17,45,43
38,50,7,29,15,14,56,19,28,48,17,45,43,33
50,7,29,15,14,56,19,28,48,17,45,43,33,14
7,29,15,14,56,19,28,48,17,45,43,33,14,36
29,15,14,56,19,28,48,17,45,43,33,14,36,5
15,14,56,19,28,48,17,45,43,33,14,36,5,44
14,56,19,28,48,17,45,43,33,14,36,5,44,5
56,19,28,48,17,45,43,33,14,36,5,44,5,33
19,28,48,17,45,43,33,14,36,5,44,5,33,49
28,48,17,45,43,33,14,36,5,44,5,33,49,17
48,17,45,43,33,14,36,5,44,5,33,49,17,42
17,45,43,33,14,36,5,44,5,33,49,17,42,39
45,43,33,14,36,5,44,5,33,49,17,42,39,15
43,33,14,36,5,44,5,33,49,17,42,39,15,13
33,14,36,5,44,5,33,49,17,42,39,15,13,57
14,36,5,44,5,33,49,17,42,39,15,13,57,53
36,5,44,5,33,49,17,42,39,15,13,57,53,40
5,44,5,33,49,17,42,39,15,13,57,53,40,17
44,5,33,49,17,42,39,15,13,57,53,40,17,21
5,33,49,17,42,39,15,13,57,53,40,17,21,57
33,49,17,42,39,15,13,57,53,40,17,21,57,16
49,17,42,39,15,13,57,53,40,17,21,57,16,23
17,42,39,15,13,57,53,40,17,21,57,16,23,54
42,39,15,13,57,53,40,17,21,57,16,23,54,4
39,15,13,57,53,40,17,21,57,16,23,54,4,13
15,13,57,53,40,17,21,57,16,23,54,4,13,3
13,57,53,40,17,21,57,16,23,54,4,13,3,51
57,53,40,17,21,57,16,23,54,4,13,3,51,17
53,40,17,21,57,16,23,54,4,13,3,51,17,29
40,17,21,57,16,23,54,4,13,3,51,17,29,25
17,21,57,16,23,54,4,13,3,51,17,29,25,22
21,57,16,23,54,4,13,3,51,17,29,25,22,6
57,16,23,54,4,13,3,51,17,29,25,22,6,7
16,23,54,4,13,3,51,17,29,25,22,6,7,52
23,54,4,13,3,51,17,29,25,22,6,7,52,38
54,4,13,3,51,17,29,25,22,6,7,52,38,60
